State,FL,FL,FL,HI,HI,HI,LA,LA,LA,TX,TX,TX
Data Item,PRIndex,Value,Weight,PRIndex,Value,Weight,PRIndex,Value,Weight,PRIndex,Value,Weight
Year,,,,,,,,,,,,
1995,30.6,441497000.0,14428000.0,32.3,127682000.0,3953000.0,27.0,254367000.0,9421000.0,26.6,35511000.0,1335000.0
1996,29.4,405808000.0,13803000.0,30.5,108092000.0,3544000.0,26.2,244891000.0,9347000.0,25.5,25322000.0,993000.0
1997,28.7,445855000.0,15535000.0,29.2,85410000.0,2925000.0,27.1,290404000.0,10716000.0,25.6,21171000.0,827000.0
1998,29.5,503949000.0,17083000.0,32.0,87264000.0,2727000.0,23.2,275616000.0,11880000.0,24.9,26220000.0,1053000.0
1999,27.2,421736000.0,15505000.0,30.0,86760000.0,2892000.0,22.9,325753000.0,14225000.0,26.1,24926000.0,955000.0
2000,28.6,467610000.0,16350000.0,26.3,62200000.0,2365000.0,22.7,313510000.0,13811000.0,29.8,52597000.0,1765000.0
2001,31.7,495154000.0,15620000.0,30.8,57842000.0,1878000.0,25.7,342838000.0,13340000.0,28.9,55979000.0,1937000.0
2002,31.7,536649000.0,16929000.0,30.5,64325000.0,2109000.0,23.5,309260000.0,13160000.0,30.3,51662000.0,1705000.0
2003,31.9,525297000.0,16467000.0,31.7,64351000.0,2030000.0,25.8,304182000.0,11790000.0,30.1,49816000.0,1655000.0
2004,30.3,407141000.0,13437000.0,31.1,61547000.0,1979000.0,25.3,258920000.0,10234000.0,27.7,44126000.0,1593000.0
2005,28.0,330568000.0,11806000.0,33.6,58901000.0,1753000.0,27.1,260648000.0,9618000.0,33.4,51803000.0,1551000.0
2006,31.1,425324000.0,13676000.0,31.1,50195000.0,1614000.0,29.6,327287000.0,11057000.0,28.7,46351000.0,1615000.0
2007,31.6,426600000.0,13500000.0,31.9,47627000.0,1493000.0,27.3,323669000.0,11856000.0,23.4,33322000.0,1424000.0
2008,30.1,380283000.0,12634000.0,31.1,44224000.0,1422000.0,29.1,312941000.0,10754000.0,25.5,33686000.0,1321000.0
2009,39.5,524679000.0,13283000.0,33.2,44222000.0,1332000.0,31.3,393065000.0,12558000.0,22.3,29458000.0,1321000.0
2010,38.0,464740000.0,12230000.0,58.4,69788000.0,1195000.0,45.2,490058000.0,10842000.0,32.2,44951000.0,1396000.0
2011,45.1,642675000.0,14250000.0,60.7,78121000.0,1287000.0,50.4,535550000.0,10626000.0,33.4,52605000.0,1575000.0
2012,44.5,644983000.0,14494000.0,58.1,73322000.0,1262000.0,38.8,512160000.0,13200000.0,29.9,46166000.0,1544000.0
2013,35.1,481572000.0,13720000.0,57.5,77740000.0,1352000.0,25.9,323880000.0,12505000.0,18.8,27185000.0,1446000.0
2014,36.8,553950000.0,15053000.0,43.1,54349000.0,1261000.0,33.6,382603000.0,11387000.0,9.41,11236000.0,1194000.0
2015,35.6,602174000.0,16915000.0,40.7,46357000.0,1139000.0,24.7,281481000.0,11396000.0,21.1,23316000.0,1105000.0
2016,38.7,623844000.0,16120000.0,40.7,54375000.0,1336000.0,24.6,283392000.0,11520000.0,20.5,28598000.0,1395000.0
2017,,,16237000.0,,,,,,13455000.0,,,1490000.0
