"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WDMV"
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-24","0.00","0.0","90","70",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-25","0.00","0.0","88","66",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-26","0.00","0.0","94","67",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-27","0.00","0.0","94","68",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-28","0.00","0.0","83","60",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-29","0.00","0.0","86","62",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-30","0.00","0.0","92","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-10-31","0.16","0.0","84","59",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-01","0.00","0.0","78","48",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-02","0.00","0.0","85","52",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-03","0.00","0.0","90","60",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-04","0.00","0.0","83","63",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-05","0.00","0.0","81","63",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-06","0.00","0.0","79","44",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-07","0.00","0.0","77","45",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-08","0.00","0.0","79","43",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-09","0.00","0.0","82","41",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-10","0.00","0.0","85","48",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-11","0.00","0.0","78","63",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-12","0.00","0.0","74","50",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-13","0.00","0.0","78","43",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-14","0.00","0.0","80","53",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-15","0.00","0.0","78","47",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-16","0.00","0.0","83","49",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-17","0.00","0.0","87","61",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-18","0.00","0.0","83","71",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-19","0.00","0.0","86","71",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-20","0.02","0.0","80","62",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-21","0.13","0.0","63","50",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-22","0.00","0.0","64","52",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-23","0.00","0.0","60","53",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-24","0.00","0.0","58","46",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-25","0.00","0.0","72","44",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-26","0.00","0.0","69","53",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-27","0.00","0.0","73","57",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-28","0.00","0.0","80","56",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-29","0.00","0.0","80","57",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-11-30","0.00","0.0","82","54",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-01","0.00","0.0","82","57",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-02","0.03","0.0","83","61",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-03","0.00","0.0","75","51",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-04","0.00","0.0","84","51",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-05","0.00","0.0","77","50",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-06","0.00","0.0","71","51",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-07","0.00","0.0","70","40",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-08","0.25","0.0","67","47",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-09","0.00","0.0","63","45",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-10","0.18","0.0","59","48",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-11","0.66","0.0","63","56",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-12","0.08","0.0","61","55",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-13","0.00","0.0","62","47",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-14","0.00","0.0","58","46",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-15","0.15","0.0","55","49",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-16","0.10","0.0","72","52",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-17","0.00","0.0","73","46",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-18","0.00","0.0","81","55",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-19","0.06","0.0","73","54",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-20","0.13","0.0","68","63",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-21","0.18","0.0","74","62",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-22","0.00","0.0","83","67",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-23","0.00","0.0","74","56",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-24","0.00","0.0","72","53",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-25","0.00","0.0","76","47",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-26","0.00","0.0","73","38",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-27","0.00","0.0","70","48",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-28","0.00","0.0","67","41",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-29","0.00","0.0","69","44",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-30","0.14","0.0","63","56",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1941-12-31","0.10","0.0","75","61",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-01","0.00","0.0","77","60",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-02","0.00","0.0","64","38",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-03","0.06","0.0","59","33",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-04","0.00","0.0","54","33",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-05","0.07","0.0","48","33",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-06","0.46","0.0","48","32",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-07","0.30","0.0","49","36",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-08","0.02","0.0","46","30",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-09","0.04","0.0","48","38",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-10","0.01","0.0","51","31",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-11","0.00","0.0","64","30",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-12","0.00","0.0","73","34",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-13","0.00","0.0","71","48",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-14","0.66","0.0","65","54",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-15","0.00","0.0","66","57",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-16","0.00","0.0","71","48",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-17","0.00","0.0","79","59",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-18","0.00","0.0","80","60",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-19","0.00","0.0","71","54",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-20","0.00","0.0","66","54",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-21","0.00","0.0","73","46",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-22","0.00","0.0","77","38",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-23","0.00","0.0","79","39",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-24","0.00","0.0","82","46",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-25","0.00","0.0","83","48",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-26","0.00","0.0","85","59",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-27","0.00","0.0","78","54",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-28","0.00","0.0","78","44",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-29","0.00","0.0","81","52",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-30","0.00","0.0","81","60",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-01-31","0.00","0.0","70","39",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-01","0.00","0.0","71","37",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-02","0.00","0.0","76","42",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-03","0.07","0.0","68","59",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-04","0.00","0.0","78","61",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-05","0.00","0.0","83","60",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-06","0.00","0.0","80","53",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-07","0.00","0.0","74","50",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-08","0.00","0.0","81","54",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-09","0.03","0.0","82","66",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-10","0.03","0.0","68","44",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-11","0.04","0.0","62","40",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-12","0.00","0.0","62","43",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-13","0.17","0.0","64","54",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-14","0.76","0.0","81","60",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-15","0.00","0.0","80","61",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-16","0.00","0.0","75","60",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-17","0.00","0.0","70","51",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-18","0.00","0.0","62","39",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-19","0.05","0.0","40","34",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-20","0.05","0.0","60","35",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-21","0.00","0.0","60","36",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-22","0.12","0.0","67","57",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-23","0.00","0.0","84","56",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-24","0.00","0.0","74","53",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-25","0.00","0.0","69","40",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-26","0.00","0.0","75","53",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-27","0.00","0.0","63","36",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-02-28","0.00","0.0","64","40",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-01","0.06","0.0","78","59",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-02","0.00","0.0","68","41",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-03","0.00","0.0","71","38",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-04","0.05","0.0","69","53",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-05","0.00","0.0","74","39",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-06","0.00","0.0","83","37",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-07","0.00","0.0","94","56",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-08","0.00","0.0","69","44",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-09","0.00","0.0","78","37",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-10","0.00","0.0","85","51",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-11","0.00","0.0","91","53",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-12","0.00","0.0","89","64",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-13","0.00","0.0","87","62",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-14","0.00","0.0","95","61",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-15","0.00","0.0","92","66",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-16","0.00","0.0","87","66",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-17","0.00","0.0","90","53",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-18","0.00","0.0","82","48",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-19","0.00","0.0","84","59",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-20","0.00","0.0","85","68",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-21","0.00","0.0","77","58",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-22","0.00","0.0","75","52",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-23","0.00","0.0","78","54",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-24","0.00","0.0","76","60",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-25","0.00","0.0","96","69",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-26","0.00","0.0","84","68",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-27","0.00","0.0","76","58",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-28","0.00","0.0","71","55",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-29","0.00","0.0","70","48",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-30","0.00","0.0","74","62",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-03-31","0.00","0.0","71","58",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-01","0.00","0.0","78","54",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-02","0.00","0.0","84","46",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-03","0.00","0.0","87","55",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-04","0.00","0.0","85","67",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-05","0.00","0.0","89","66",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-06","0.00","0.0","89","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-07","0.00","0.0","94","74",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-08","0.00","0.0","87","63",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-09","0.00","0.0","79","49",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-10","0.00","0.0","82","47",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-11","0.00","0.0","84","48",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-12","0.00","0.0","85","56",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-13","0.00","0.0","88","64",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-14","0.00","0.0","89","61",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-15","0.00","0.0","88","65",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-16","0.00","0.0","88","67",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-17","0.02","0.0","83","69",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-18","0.00","0.0","89","66",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-19","0.00","0.0","84","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-20","0.02","0.0","90","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-21","0.10","0.0","82","64",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-22","0.00","0.0","77","64",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-23","0.00","0.0","88","68",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-24","0.00","0.0","98","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-25","0.00","0.0","98","74",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-26","0.00","0.0","91","74",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-27","0.00","0.0","89","74",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-28","0.00","0.0","87","69",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-29","0.00","0.0","89","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-04-30","0.00","0.0","97","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-01","0.00","0.0","91","74",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-02","0.00","0.0","90","73",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-03","0.00","0.0","90","76",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-04","0.12","0.0","87","72",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-05","0.00","0.0","94","67",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-06","0.00","0.0","92","70",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-07","1.30","0.0","85","69",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-08","0.00","0.0","77","65",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-09","0.00","0.0","85","66",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-10","0.00","0.0","88","67",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-11","0.00","0.0","90","71",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-12","0.00","0.0","91","75",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-13","0.00","0.0","98","75",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-14","0.03","0.0","99","75",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-15","0.19","0.0","85","64",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-16","0.00","0.0","88","60",
"USC00415721","MCCOOK, TX US","26.565","-98.1236","67.1","1942-05-17","0.00","0.0","90","76",
